l_dm,p_MPa
34.6655,4.50994
34.7125,4.50338
34.7595,4.49684
34.8065,4.49031
34.8535,4.4838
34.9006,4.4773
34.9476,4.47082
34.9947,4.46435
35.0418,4.4579
35.0888,4.45147
35.1359,4.44505
35.1831,4.43864
35.2302,4.43225
35.2773,4.42587
35.3244,4.41951
35.3716,4.41317
35.4188,4.40684
35.4659,4.40052
35.5131,4.39422
35.5603,4.38794
35.6075,4.38167
35.6547,4.37541
35.702,4.36917
35.7492,4.36294
35.7964,4.35673
35.8437,4.35053
35.891,4.34435
35.9382,4.33818
35.9855,4.33202
36.0328,4.32588
36.0802,4.31976
36.1275,4.31365
36.1748,4.30755
36.2221,4.30146
36.24,4.29917
